id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0030,7773-06-0,,,1500 mg/m<sup>3</sup>,: TWA 10 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),114.1,320°F (Decomposes),268°F,200%,0 mmHg (approx),?,1.77,NA,NA,NA,,,Noncombustible Solid,"inhalation, skin and/or eye contact","irritation eyes, nose, throat; cough, dyspnea (breathing difficulty)","Eyes, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0031,628-63-7,,1 ppm = 5.33 mg/m<sup>3</sup>,1000 ppm,: TWA 100 ppm (525 mg/m<sup>3</sup>)                  : TWA 100 ppm (525 mg/m<sup>3</sup>),130.2,301°F,-95°F,0.2%,4 mmHg,?,0.88,77°F,7.5%,1.1%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose; dermatitis; possible central nervous system depression, narcosis","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0032,626-38-0,,1 ppm = 5.33 mg/m<sup>3</sup>,1000 ppm,: TWA 125 ppm (650 mg/m<sup>3</sup>)                  : TWA 125 ppm (650 mg/m<sup>3</sup>),130.2,249°F,-109°F,Slight,7 mmHg,?,0.87,89°F,7.5%,1%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose; narcosis; dermatitis; possible kidney, liver injury; possible central nervous system depression","Eyes, skin, respiratory system, kidneys, liver, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0033,62-53-3,,1 ppm = 3.81 mg/m<sup>3</sup>,Ca [100 ppm],: Ca : TWA 5 ppm (19 mg/m<sup>3</sup>) [skin],93.1,363°F,21°F,4%,0.6 mmHg,7.70 eV,1.02,158°F,11%,1.3%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","headache, lassitude (weakness, exhaustion), dizziness; cyanosis; ataxia; dyspnea (breathing difficulty) on effort; tachycardia; irritation eyes; methemoglobinemia; cirrhosis; [potential occupational carcinogen]","Blood, cardiovascular system, eyes, liver, kidneys, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0034,90-04-0,,,Ca [50 mg/m<sup>3</sup>],: Ca TWA 0.5 mg/m<sup>3</sup> [skin] : TWA 0.5 mg/m<sup>3</sup> [skin],123.2,437°F,41°F,Sol(77°F): 1%,&lt;0.1 mmHg,7.44 eV,1.10,Fl.P(oc): 244°F,?,?,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","headache, dizziness; cyanosis; red blood cell Heinz bodies; [potential occupational carcinogen]","Blood, kidneys, liver, cardiovascular system, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0035,104-94-9,,,50 mg/m<sup>3</sup>,: TWA 0.5 mg/m<sup>3</sup> [skin]                  : TWA 0.5 mg/m<sup>3</sup> [skin],123.2,475°F,135°F,Moderate,VP(77°F): 0.006 mmHg,7.44 eV,1.07,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","headache, dizziness; cyanosis; red blood cell Heinz bodies","Blood, kidneys, liver, cardiovascular system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0036,7440-36-0,,,50 mg/m<sup>3</sup> (as Sb),*: TWA 0.5 mg/m<sup>3</sup> [*Note: The REL also applies to other antimony compounds (as Sb).]                  *: TWA 0.5 mg/m<sup>3</sup> [*Note: The PEL also applies to other antimony compounds (as Sb).],121.8,2975°F,1166°F,Insoluble,0 mmHg (approx),NA,6.69,NA,NA,NA,,,"Noncombustible Solid in bulk form, but a moderate explosion hazard in the form of dust when exposed to flame.","inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat, mouth; cough; dizziness; headache; nausea, vomiting, diarrhea; stomach cramps; insomnia; anorexia; unable to smell properly","Eyes, skin, respiratory system, cardiovascular system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0037,86-88-4,,,100 mg/m<sup>3</sup>,: TWA 0.3 mg/m<sup>3</sup>: TWA 0.3 mg/m<sup>3</sup>,202.3,Decomposes,388°F,0.06%,Low,?,?,NA,NA,NA,,,Noncombustible Solid,"inhalation, ingestion","After ingestion of large doses: vomiting, dyspnea (breathing difficulty), cyanosis, coarse pulmonary rales; liver damage","respiratory system, blood, liver",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0038,7440-38-2 (metal),,,Ca [5 mg/m<sup>3</sup> (as As)],: Ca C 0.002 mg/m<sup>3</sup> [15-minute] : [1910.1018] TWA 0.010 mg/m<sup>3</sup>,74.9,Sublimes,1135°F (Sublimes),Insoluble,0 mmHg (approx),NA,5.73 (metal),NA,NA,NA,,,"Metal: Noncombustible Solid in bulk form, but a slight explosion hazard in the form of dust when exposed to flame.","inhalation, skin absorption, skin and/or eye contact, ingestion","Ulceration of nasal septum, dermatitis, gastrointestinal disturbances, peripheral neuropathy, resp irritation, hyperpigmentation of skin, [potential occupational carcinogen]","Liver, kidneys, skin, lungs, lymphatic system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0039,,,,N.D.,: none                  : TWA 0.5 mg/m<sup>3</sup>,Properties vary depending upon the specific organic arsenic compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact","In animals: irritation skin, possible dermatitis; resp distress; diarrhea; kidney damage; muscle tremor, convulsions; possible gastrointestinal tract, reproductive effects; possible liver damage","Skin, respiratory system, kidneys, central nervous system, liver, gastrointestinal tract, reproductive system",()                   Recommendations regarding personal protective clothing vary depending upon the specific compound.                                    Recommendations regarding eye protection vary depending upon the specific compound.                                    Recommendations regarding washing the skin vary depending upon the specific compound.                                    Recommendations regarding the removal of personal protective clothing that becomes wet or contaminated vary depending upon the specific compound.                                    Recommendations regarding the daily changing of personal protective clothing vary depending upon the specific compound.                                    Recommendations regarding the need for eyewash or quick drench facilities vary depending upon the specific compound.,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0040,7784-42-1,,1 ppm = 3.19 mg/m<sup>3</sup>,Ca [3 ppm],: Ca C 0.002 mg/m<sup>3</sup> [15-minute] : TWA 0.05 ppm (0.2 mg/m<sup>3</sup>),78.0,-81°F,-179°F,20%,VP(70°F): 14.9 atm,9.89 eV,,NA (Gas),78%,5.1%,2.69,,Flammable Gas,"inhalation, skin and/or eye contact (liquid)","headache, malaise (vague feeling of discomfort), lassitude (weakness, exhaustion), dizziness; dyspnea (breathing difficulty); abdominal, back pain; nausea, vomiting; bronze skin; hematuria (blood in the urine); jaundice; peripheral neuropathy; liquid: frostbite; [potential occupational carcinogen]","Blood, kidneys, liver",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Respiratory support
0041,1332-21-4,,,Ca [N.D.],: Ca,Varies,Decomposes,1112°F (Decomposes),Insoluble,0 mmHg (approx),NA,?,NA,NA,NA,,,Noncombustible Solids,"inhalation, ingestion, skin and/or eye contact","Asbestosis (chronic exposure): dyspnea (breathing difficulty), interstitial fibrosis, restricted pulmonary function, finger clubbing; irritation eyes; [potential occupational carcinogen]","respiratory system, eyes",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0042,8052-42-4,,,Ca [N.D.],": Ca C 5 mg/m<sup>3</sup> [15-minute] , Appendix C                  : none",Properties vary depending upon the specific asphalt formulation or mixture.,,,,,,,,,,,,Asphalt: Combustible Solid,"inhalation, skin absorption, skin and/or eye contact","irritation eyes, respiratory system; [potential occupational carcinogen]","Eyes, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Respiratory support
